"Section","Values"
"[2. Missing HTTP Security Headers]","Ref: https://scotthelme.co.uk/goodbye-feature-policy-and-hello-permissions-policy/"
"[2. Missing HTTP Security Headers]","Referrer-Policy"
"[2. Missing HTTP Security Headers]","Controls how much referrer information should be included with requests."
"[2. Missing HTTP Security Headers]","Ref: https://scotthelme.co.uk/a-new-security-header-referrer-policy/"
"[2. Missing HTTP Security Headers]","X-Permitted-Cross-Domain-Policies"
"[2. Missing HTTP Security Headers]","Limit which data external resources (e.g. Adobe Flash/PDF documents), can access on the domain."
"[2. Missing HTTP Security Headers]","Ref: https://owasp.org/www-project-secure-headers/#div-headers"
"[3. Fingerprint HTTP Response Headers]","These headers can leak information about software, versions, hostnames or IP addresses: "
"[3. Fingerprint HTTP Response Headers]","X-FB-Debug (facebook.com Platform)"
"[3. Fingerprint HTTP Response Headers]","Value: 'GOgszca9qLxKjM9jDeLK82LrEt4xNtj69s/dgFjLpcsasvcn+kOVZUlfIbDDjtTID4yeUGFkGsAYJb+hFuSrVQ=='"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","The following headers/protocols are deprecated or their values may be considered unsafe: "
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Deprecated Directives)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Avoid using deprecated directives: 'report-uri', 'block-all-mixed-content'"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Insecure Schemes)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Do not allow insecure, unencrypted schemes: 'http:'"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://www.cloudflare.com/learning/ssl/why-is-http-not-secure/"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://http.dev/wss"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Too Permissive Sources)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Limit these permissive origins: 'data:', 'blob:'"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://content-security-policy.com/"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Unsafe Values)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","'unsafe-inline' and 'unsafe-eval' negate most of the security benefits provided by this header."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://csper.io/blog/no-more-unsafe-inline"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/eval"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Pragma (Deprecated Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","This header is deprecated."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Pragma"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Report-To (Deprecated Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","This header is deprecated. Use instead ""Reporting-Endpoints""."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Report-To"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Strict-Transport-Security (Recommended Values)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Add 'includeSubDomains' and 'max-age' (with 31536000 -one year- as minimum)."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://https.cio.gov/hsts/"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Strict-Transport-Security (Required Values)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","'preload' requires 'includeSubDomains' and 'max-age' (with 31536000 -one year- as minimum)."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Vary (Potentially Unsafe Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","The values of this header may expose others, facilitating attacks if user input is accepted."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Vary"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://www.yeswehack.com/fr/learn-bug-bounty/http-header-exploitation"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","X-XSS-Protection (Deprecated Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","This header is deprecated in the three major web browsers."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Instead, use the ""Content-Security-Policy"" header restrictively."
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection"
"[5. Empty HTTP Response Headers Values]","Empty HTTP headers (and are therefore considered disabled): "
"[5. Empty HTTP Response Headers Values]","Nothing to report, all seems OK!"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Cache-Control: https://caniuse.com/?search=Cache-Control"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Content-Security-Policy: https://caniuse.com/?search=contentsecuritypolicy2"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Content-Type: https://caniuse.com/?search=Content-Type"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Cross-Origin-Opener-Policy: https://caniuse.com/?search=Cross-Origin-Opener-Policy"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Origin-Agent-Cluster: https://caniuse.com/?search=Origin-Agent-Cluster"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Pragma: https://caniuse.com/?search=Pragma"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Report-To: https://caniuse.com/?search=Report-To"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Reporting-Endpoints: https://caniuse.com/?search=Reporting-Endpoints"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Strict-Transport-Security: https://caniuse.com/?search=Strict-Transport-Security"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Vary: https://caniuse.com/?search=Vary"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","X-Content-Type-Options: https://caniuse.com/?search=X-Content-Type-Options"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","X-Frame-Options: https://caniuse.com/?search=X-Frame-Options"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","X-XSS-Protection: https://caniuse.com/?search=X-XSS-Protection"
"[7. Analysis Results]","Done in 0.19 seconds! (changes with respect to the last analysis in parentheses)"
"[7. Analysis Results]","Enabled headers: 12 (First Analysis)"
"[7. Analysis Results]","Missing headers: 7 (First Analysis)"
"[7. Analysis Results]","Fingerprint headers: 1 (First Analysis)"
"[7. Analysis Results]","Deprecated/Insecure headers: 10 (First Analysis)"
"[7. Analysis Results]","Empty headers: 0 (First Analysis)"
"[7. Analysis Results]","Findings to review: 18 (First Analysis)"
"[7. Analysis Results]","Analysis Grade: D (Review 'Deprecated/Insecure headers')"
"[7. Analysis Results]","'(*)' meaning: Experimental HTTP response header"
"[7. Analysis Results]","'(*)' ref: https://mdn.io/Experimental_deprecated_obsolete"
